teilversuch,titel,gruppe,verfahren,ebene,wiederholungen,precision,precision_ci_unten,precision_ci_oben,precision_ci_art,recall,recall_ci_unten,recall_ci_oben,recall_ci_art,f1,f1_ci_unten,f1_ci_oben,f1_ci_art
T1,Duplikate: satzbasierte Metrik fuer F6,F6,prototyp,satzebene,20,0.2978339215044629,0.2973470220917208,0.2984197520862469,bca,0.9935882152588558,0.9932816757493187,0.9938879427792914,bca,0.4574074487535948,0.4568260471480214,0.4581454743852946,bca
T1,Duplikate: satzbasierte Metrik fuer F6,F6,B0,satzebene,20,0.0,0.0,0.0,entartet,0.0,0.0,6.980144148584222e-06,clopper-pearson,0.0,0.0,0.0,entartet
T1,Duplikate: satzbasierte Metrik fuer F6,F6,B2,satzebene,20,0.05679166173749289,0.05628055408071502,0.05727264394554818,bca,0.19054155313351498,0.18845594035258267,0.19239843416965632,bca,0.07914770511216684,0.07845357413857955,0.07981203740864433,bca
T2,Held-out: erwarteter Recall nahe null,HO1,prototyp,satzebene,20,1.0,1.0,1.0,entartet,0.7945564516129032,0.7804435483870968,0.8060483870967742,bca,0.8852218687133064,0.8760268903864056,0.8922518048769855,bca
T2,Held-out: erwarteter Recall nahe null,HO2,prototyp,zellebene,20,0.0,0.0,0.0,entartet,0.0,0.0,3.4359315201798284e-05,clopper-pearson,0.0,0.0,0.0,entartet
T3,Praxismix: alle Klassen gemeinsam mit den Gewichten aus spec/03,mix,prototyp,zellebene,20,0.41048835460101174,0.3947202156908834,0.41482441612686527,bca,0.4994043935345747,0.49709819302411634,0.5015418416424818,bca,0.4504062389199677,0.440374560226793,0.4534672374627077,bca
T3,Praxismix: alle Klassen gemeinsam mit den Gewichten aus spec/03,mix,B0,zellebene,20,1.0,1.0,1.0,entartet,0.2972171034740077,0.2956298611009623,0.29852164273907633,bca,0.45822771936828033,0.45625299825433147,0.4598254507359335,bca
T3,Praxismix: alle Klassen gemeinsam mit den Gewichten aus spec/03,mix,B2,zellebene,20,0.007342083078020457,0.007168537487729911,0.007483720673048814,bca,0.267338734830337,0.2608832012853776,0.27252229822488194,bca,0.014291664014405745,0.013958592555687708,0.014561859607644227,bca
T5,Datenvarianz: 20 verschiedene Basisdatensaetze,F5,prototyp,zellebene,20,0.4126147724282746,0.41221437357052765,0.4130156007416252,bca,0.8291880810893311,0.8290079347007729,0.8293828395892937,bca,0.5510293470652653,0.5506512560705374,0.551389024818942,bca
