verfahren,n_anfragen,zeilen_gesamt,wiederholungen,laufzeit_s,laufzeit_s_je_1000_zeilen,speicher_mb,speicher_mb_je_1000_zeilen
B0,1000,10827,5,1.0968795400025555,0.10130964625496959,6.080808830261231,0.561633770228247
prototyp,1000,10827,5,5.331930640002247,0.49246611619121144,4.964373779296875,0.458517943963875
B0,10000,105571,5,10.632856419999735,0.10071758740562971,60.790691184997556,0.5758275585624608
prototyp,10000,105571,5,49.179940180000266,0.46584706197725,25.080844497680665,0.23757323978820571
B0,100000,1052317,5,105.46504399999976,0.10022174306791562,601.929201889038,0.5720036850958771
prototyp,100000,1052317,5,1035.96659832,0.9844624750146581,244.5806037902832,0.23242103262636943
